task_id,correct_answer,llm_answer,llm_response,matched
Health checks should use a general mechanism to enter namespaces of the task.,3.0,8,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Health checks should use a general mechanism to enter namespaces of the task.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 8

Rationale:

",False
Consider adding a timeout to Docker executor task launch,5.0,8,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Consider adding a timeout to Docker executor task launch<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 8

Rationale:

",False
Add missing fields to agent v1 operator API,2.0,8,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Add missing fields to agent v1 operator API<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 8

Reasoning:

",False
Leverage helper functions to reduce boilerplate code related to v1 API.,3.0,8,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Leverage helper functions to reduce boilerplate code related to v1 API.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 8

Rationale:

",False
Look for unnecessary 'Clock::resume()' at the end of tests,2.0,2,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Look for unnecessary 'Clock::resume()' at the end of tests<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 2

Reasoning:

",False
Non-leading master should reply to some API requests,3.0,8,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Non-leading master should reply to some API requests<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 8

Reasoning:

",False
Support multiple health checks per task.,8.0,13,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Support multiple health checks per task.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 13

Rationale:

",False
Change the auto backend logic of backing filesystem from exclusive to inclusive.,3.0,8,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Change the auto backend logic of backing filesystem from exclusive to inclusive.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 8

Reasoning:

",False
Design doc for creating user namespaces inside containers,5.0,8,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Design doc for creating user namespaces inside containers<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 8

Here's my",False
Allow the KillPolicy to specify a signal,3.0,8,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Allow the KillPolicy to specify a signal<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 8

Reasoning:

",False
