task_id,correct_answer,llm_answer,llm_response,matched
Launcher url points to Apigee,3.0,3,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Launcher url points to Apigee<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 3<|eot_id|>",False
"Usergrid Launcher throws exception if ""initialize database"" unchecked",3.0,3,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Usergrid Launcher throws exception if ""initialize database"" unchecked<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 3<|eot_id|>",False
Some required fields should not be required on the users page of the Admin Portal,3.0,3,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Some required fields should not be required on the users page of the Admin Portal<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 3<|eot_id|>",False
Mismatch application metadata ( APPLICATIONS_CF and Management Apps ),3.0,3,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Mismatch application metadata ( APPLICATIONS_CF and Management Apps )<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 3<|eot_id|>",False
Fresh Admin user token won't work on /management/users/me,3.0,3,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Fresh Admin user token won't work on /management/users/me<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 3<|eot_id|>",False
Improve Exception when Query String cannot be parsed,3.0,3,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Improve Exception when Query String cannot be parsed<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 3<|eot_id|>",False
Admin Portal - connections listing on data page throws error,3.0,3,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Admin Portal - connections listing on data page throws error<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 3<|eot_id|>",False
"Admin Portal - ${user} permissions not allowed, but they should be",3.0,3,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Admin Portal - ${user} permissions not allowed, but they should be<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 3<|eot_id|>",False
Image assets not displaying correctly in Safari,5.0,3,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Image assets not displaying correctly in Safari<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 3<|eot_id|>",False
Broken link to contribution page,3.0,3,"<|begin_of_text|><|begin_of_text|><|start_header_id|>system<|end_header_id|>

Cutting Knowledge Date: December 2023
Today Date: 26 July 2024

You are an expert software development effort estimator. Given a software development issue summary, predict the effort in story points.<|eot_id|><|start_header_id|>user<|end_header_id|>

### Summary:
Broken link to contribution page<|eot_id|><|start_header_id|>assistant<|end_header_id|>

My estimated story point is: 3<|eot_id|>",False
